trade_date,has_limit_list_data,trigger_count,trigger_stocks,concept_count,concepts,bond_count,evaluable_count,wins,win_rate,avg_return_pct,best_return_pct,worst_return_pct
2026-06-01,True,0,,0,,0,0,0,,,,
2026-06-02,True,0,,0,,0,0,0,,,,
2026-06-03,True,0,,0,,0,0,0,,,,
2026-06-04,True,0,,0,,0,0,0,,,,
2026-06-05,True,0,,0,,0,0,0,,,,
2026-06-08,True,0,,0,,0,0,0,,,,
2026-06-09,True,1,"圣泉集团(605589,7.19亿)",2,"先进封装(-0.04653701471122154,n=182)、存储芯片(-0.049723964197134644,n=191)",50,15,13,86.66666666666667,3.245053207437737,9.492142382135722,-4.097911487724784
2026-06-10,True,0,,0,,0,0,0,,,,
2026-06-11,True,0,,0,,0,0,0,,,,
2026-06-12,True,0,,0,,0,0,0,,,,
2026-06-15,False,0,,0,,0,0,0,,,,
2026-06-16,False,0,,0,,0,0,0,,,,
2026-06-17,False,0,,0,,0,0,0,,,,
2026-06-18,False,0,,0,,0,0,0,,,,
2026-06-22,False,0,,0,,0,0,0,,,,
2026-06-24,True,0,,0,,0,0,0,,,,
2026-06-25,False,0,,0,,0,0,0,,,,
2026-06-26,True,0,,0,,0,0,0,,,,
2026-06-29,True,1,"多氟多(002407,6.04亿)",2,"氟化工(2.9020675545701935,n=10)、中芯国际概念(1.7925070307521458,n=89)",30,0,0,,,,
2026-06-30,True,0,,0,,0,0,0,,,,
