ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,total_mv,circ_mv
002708.SZ,20260702,12.97,6.846,1.27,72.198,67.7593,4.1215,2.6839,729041.106,670103.6102
002708.SZ,20260701,12.87,4.8792,0.91,71.6413,67.2369,4.0897,2.6632,723420.126,664937.0442
002708.SZ,20260630,13.19,4.917,0.9,73.4226,68.9087,4.1914,2.7294,741407.262,681470.0554
002708.SZ,20260629,12.65,6.4506,1.11,70.4167,66.0876,4.0198,2.6177,711053.97,653570.599
002708.SZ,20260626,13.37,5.2384,0.8,74.4246,69.8491,4.2486,2.7666,751525.026,690769.8742
002708.SZ,20260625,14.0,5.5322,0.84,77.9315,73.1404,4.4488,2.897,786937.2,723319.24
002708.SZ,20260624,14.83,4.5796,0.67,82.5518,77.4766,4.7126,3.0688,833591.334,766201.7378
002708.SZ,20260623,14.92,5.6526,0.82,83.0527,77.9468,4.7412,3.0874,838650.216,770851.6472
002708.SZ,20260622,14.98,7.993,1.2,83.3867,78.2602,4.7602,3.0998,842022.804,773951.5868
002708.SZ,20260618,15.18,8.9137,1.47,84.5,79.3051,4.8238,3.1412,853264.764,784284.7188
002708.SZ,20260617,14.13,5.6891,0.91,78.6552,73.8195,4.4901,2.9239,794244.474,730035.7758
002708.SZ,20260616,13.94,6.1054,0.91,77.5975,72.8269,4.4298,2.8846,783564.612,720219.3004
002708.SZ,20260615,13.41,5.7301,0.73,74.6473,70.058,4.2613,2.7749,753773.418,692836.5006
002708.SZ,20260612,13.1,6.8675,0.78,72.9216,68.4385,4.1628,2.7108,736348.38,676820.146
002708.SZ,20260611,13.79,5.8839,0.66,76.7625,72.0433,4.3821,2.8536,775133.0965,712469.3838
002708.SZ,20260610,14.24,6.6415,0.76,79.2675,74.3942,4.5251,2.9467,800427.505,735718.9286
002708.SZ,20260609,14.7,8.5134,1.12,81.8281,76.7974,4.6713,3.0419,826284.0115,759485.13
002708.SZ,20260608,15.09,11.3336,1.86,83.999,78.8349,4.7952,3.1226,848205.8322,779634.7355
002708.SZ,20260605,15.86,11.9082,2.5,88.2853,82.8576,5.0399,3.2819,891487.3757,819417.2899
002708.SZ,20260604,14.42,5.8565,1.31,80.2695,75.3346,4.5823,2.9839,810545.2684,745018.7465
002708.SZ,20260603,14.08,5.9157,1.43,78.3768,73.5583,4.4743,2.9136,791433.9375,727452.4238
002708.SZ,20260602,13.39,3.1211,0.69,74.5359,69.9536,4.255,2.7708,752649.1778,691803.1218
002708.SZ,20260601,13.6,3.6611,0.76,75.7049,71.0507,4.3217,2.8142,764453.2351,702652.9094
002708.SZ,20260529,13.7,5.2468,1.06,76.2616,71.5731,4.3535,2.8349,770074.2148,707819.4749
